author;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;underground;residential_complex
Стрелецкая Слобода;https://www.cian.ru/sale/flat/281377532/;Москва;sale;flat;3;8;4;297;459957600;Таганский;Большой Николоворобинский переулок;Китай-город;
Monumental Group;https://www.cian.ru/sale/flat/287015815/;Москва;sale;flat;3;5;4;158;67000000;Басманный;Покровка;Курская;
Центр-Инвест;https://www.cian.ru/sale/flat/288008206/;Москва;sale;flat;25;35;4;130.3;54510269;Левобережный;Фестивальная;Речной вокзал;Фестиваль парк-2
Kalinka Group;https://www.cian.ru/sale/flat/250601502/;Москва;sale;flat;4;7;4;121;99000000;Пресненский;Тверской бульвар;Тверская;
Sminex-Интеко;https://www.cian.ru/sale/flat/266679449/;Москва;sale;flat;7;14;4;95.6;56700000;Раменки;;Минская;Вест Гарден ЖК
САДОВЫЕ КВАРТАЛЫ. Офис продаж;https://www.cian.ru/sale/flat/280195529/;Москва;sale;flat;11;11;4;303;385000000;Хамовники;Трубецкая;Фрунзенская;Садовые кварталы
MR Group;https://www.cian.ru/sale/flat/288222712/;Москва;sale;flat;53;54;4;116.85;56804890;Савеловский;2-я Хуторская;Дмитровская;SYMPHONY 34
NF Group - ex-Knight Frank Russia;https://www.cian.ru/sale/flat/286138276/;Москва;sale;flat;3;7;4;211.4;275000000;Хамовники;Молочный переулок;Парк Культуры;Новая Остоженка
СИТИ21;https://www.cian.ru/sale/flat/282920066/;Москва;sale;flat;15;15;4;126.4;59450615;Останкинский;проспект Мира;Алексеевская;Hill8
Elect Estate;https://www.cian.ru/sale/flat/287775855/;Москва;sale;flat;6;15;4;142;42500000;Можайский;Вересаева;Кунцевская;
Основа;https://www.cian.ru/sale/flat/286886769/;Москва;sale;flat;12;13;4;137.9;61365500;Замоскворечье;Большой Строченовский переулок;Павелецкая;Резиденции Замоскворечье
NF Group - ex-Knight Frank Russia;https://www.cian.ru/sale/flat/286389933/;Москва;sale;flat;18;41;4;113.6;84945000;Хорошевский;Ленинградский проспект;ЦСКА;Прайм Парк
Level Group;https://www.cian.ru/sale/flat/284890136/;Москва;sale;flat;-1;-1;4;202;20429108;Печатники;;Кожуховская;Левел Южнопортовая ЖК
ФСК Агент;https://www.cian.ru/sale/flat/288404627/;Москва;sale;flat;15;48;4;140;78000000;Щукино;Авиационная;Щукинская;Алые Паруса
Level Group;https://www.cian.ru/sale/flat/284889215/;Москва;sale;flat;-1;-1;4;202;35872881;Нагатино-Садовники;1-й Нагатина кв-л;Нагатинская;Левел Нагатинская ЖК
Gethome;https://www.cian.ru/sale/flat/286250903/;Москва;sale;flat;4;8;4;206.9;279315000;Хамовники;Ефремова;Спортивная;Knightsbridge Private Park
Level Group;https://www.cian.ru/sale/flat/284916940/;Москва;sale;flat;-1;-1;4;202;61370736;Академический;Профсоюзная;Академическая;Level Академическая
Ramenky Realty;https://www.cian.ru/sale/flat/277948019/;Москва;sale;flat;1;7;4;380;475247608;Хамовники;Ефремова;Спортивная;Knightsbridge Private Park
Группа Эталон;https://www.cian.ru/sale/flat/283964478/;Москва;sale;flat;18;19;4;115.3;70761970;Алексеевский;Новоалексеевская;Алексеевская;Серебряный фонтан
BARNES International Realty;https://www.cian.ru/sale/flat/288164160/;Москва;sale;flat;6;10;4;184.1;82400000;Басманный;Нижняя Красносельская;Бауманская;TriBeCa APARTMENTS
Э.К. Девелопмент;https://www.cian.ru/sale/flat/285743352/;Москва;sale;flat;11;25;4;106.5;39724500;Хорошевский;Маргелова;Беговая;Авиатика
NF Group - ex-Knight Frank Russia;https://www.cian.ru/sale/flat/279368376/;Москва;sale;flat;3;5;4;106.8;85000000;Арбат;переулок Романов;Библиотека им. Ленина;
Valartis Group;https://www.cian.ru/sale/flat/274789013/;Москва;sale;flat;5;8;4;222.5;151300000;Арбат;Арбат;Арбатская;Turandot Residences
Kalinka Group;https://www.cian.ru/sale/flat/280065235/;Москва;sale;flat;4;16;4;155;98000000;Раменки;Мичуринский проспект;Ломоносовский проспект;
Capital Group;https://www.cian.ru/sale/flat/284503823/;Москва;sale;flat;65;67;4;145.25;155353226;Пресненский;Краснопресненская набережная;Выставочная;Capital Towers
САДОВЫЕ КВАРТАЛЫ. Офис продаж;https://www.cian.ru/sale/flat/280195532/;Москва;sale;flat;5;8;4;173.9;172100000;Хамовники;Усачева;Спортивная;Садовые кварталы
А101;https://www.cian.ru/sale/flat/285977954/;Москва;sale;flat;6;10;4;64.3;13756930;;;Улица Горчакова;Дзен-кварталы ЖК
