author;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;underground;residential_complex
Центр-Инвест;https://www.cian.ru/sale/flat/288007952/;Москва;sale;flat;6;35;2;56.3;19888042;Левобережный;Фестивальная;Беломорская;Фестиваль парк-2
Ramenky Realty;https://www.cian.ru/sale/flat/284781123/;Москва;sale;flat;10;21;2;50.06;53000000;Пресненский;Жилой Лаки кв-л;Беговая;Lucky
MR Group;https://www.cian.ru/sale/flat/288221748/;Москва;sale;flat;6;49;2;64.61;22847144;Савеловский;;Дмитровская;Симфония 34 ЖК
Князев и Партнёры;https://www.cian.ru/sale/flat/287069243/;Москва;sale;flat;30;41;2;57.0;30000000;Раменки;1-й Сетуньский проезд;Кутузовская;Hide
Sminex-Интеко;https://www.cian.ru/sale/flat/281699231/;Москва;sale;flat;9;13;2;49.4;26980000;Раменки;;Минская;Вест Гарден ЖК
ID 19845463;https://www.cian.ru/sale/flat/287503894/;Москва;sale;flat;4;12;2;45.7;15490000;Строгино;Твардовского;Строгино;
СИТИ21;https://www.cian.ru/sale/flat/279205821/;Москва;sale;flat;12;15;2;111.1;48097935;Останкинский;проспект Мира;Алексеевская;Hill8
ZAPAD REALTY - офис Маршала Жукова;https://www.cian.ru/sale/flat/286134667/;Москва;sale;flat;4;29;2;62.0;29500000;Хорошево-Мневники;Шелепихинская набережная;Шелепиха;Сердце Столицы
Level Group;https://www.cian.ru/sale/flat/287979492/;Москва;sale;flat;-1;-1;-1;202.0;15830748;Нагатино-Садовники;1-й Нагатина кв-л;Нагатинская;Левел Нагатинская ЖК
ID 95677434;https://www.cian.ru/sale/flat/288343643/;Москва;sale;flat;9;15;2;55.3;31500000;Аэропорт;Ленинградский проспект;Петровский Парк;ВТБ Арена парк
ФСК;https://www.cian.ru/sale/flat/278387244/;Москва;sale;flat;-1;-1;-1;2.0;27070369;Хорошевский;Зорге;Зорге;Рихард
СТРОЙИНВЕСТ;https://www.cian.ru/sale/flat/275350959/;Москва;sale;flat;8;25;2;65.5;12954700;Некрасовка;Рождественская;Некрасовка;Некрасовка
Э.К. Девелопмент;https://www.cian.ru/sale/flat/282389345/;Москва;sale;flat;21;25;2;57.9;24318000;Хорошевский;;Беговая;Авиатика ЖК
ZAPAD REALTY - офис Маршала Жукова;https://www.cian.ru/sale/flat/286746434/;Москва;sale;flat;2;19;2;75.0;38900000;Хорошево-Мневники;Шелепихинская набережная;Шелепиха;Сердце Столицы
Основа;https://www.cian.ru/sale/flat/286886774/;Москва;sale;flat;11;13;2;50.0;33750000;Замоскворечье;Большой Строченовский переулок;Павелецкая;Резиденции Замоскворечье
